ID,Count
19,4520
20,2018
22,98
23,331
24,380
26,2643
27,5197
28,1010
29,699
30,598
31,496
32,779
33,21576
34,607
35,2379
36,1
37,1908
38,242
39,3131
40,3955
42,2187
43,1500
44,4079
46,1351
47,7
48,115
49,474
50,1883
51,860
52,2618
53,196
54,3676
55,3124
56,130
57,4901
58,6173
59,3007
60,259
61,163
62,2010
63,3172
64,3032
65,1007
66,446
67,812
68,2808
69,1861
70,271
71,241
72,7046
73,1
74,1171
75,120
76,167
77,2299
78,3170
79,6969
80,69
81,1457
82,139
83,1486
84,1448
85,4425
86,346
87,12
88,1338
89,98
90,527
93,532
94,1774
95,52
96,3639
97,1791
98,476
99,1617
100,789
101,712
102,5889
104,3670
105,563
106,14
107,4523
108,1133
109,484
110,343
111,1191
112,2779
113,919
114,1206
115,7
116,1257
117,3455
118,2723
119,1025
120,1073
121,4469
122,279
123,1226
124,716
125,100
126,8127
127,1040
128,1
129,752
130,1597
131,2014
132,144
133,1620
134,613
136,53
137,1295
138,1718
139,1418
140,2805
141,130
142,9
143,4020
144,464
145,1244
146,218
147,1050
148,3740
149,2146
150,75
151,341
152,3267
153,2791
155,746
158,7970
159,725
160,2
161,501
162,358
163,126
164,9676
165,6
166,3001
167,767
168,12
169,180
171,3995
172,95
173,427
174,1906
175,366
176,6625
177,6597
178,2832
179,2587
180,285
