ID,Count,Frequency
181,7,0.016867469879518072
182,12,0.02891566265060241
183,27,0.06506024096385542
184,28,0.06746987951807229
185,17,0.04096385542168675
186,46,0.1108433734939759
187,9,0.021686746987951807
188,10,0.024096385542168676
189,18,0.043373493975903614
190,12,0.02891566265060241
191,28,0.06746987951807229
192,44,0.10602409638554217
193,43,0.10361445783132531
194,12,0.02891566265060241
195,21,0.05060240963855422
196,12,0.02891566265060241
197,44,0.10602409638554217
198,25,0.060240963855421686
