ID,Count
19,1753
20,1193
21,296
22,677
23,551
24,1327
25,1286
26,2525
27,2866
28,1441
29,2112
30,500
31,1655
32,701
33,2975
34,1052
35,3171
36,119
37,845
38,599
39,1261
40,2531
41,634
42,1053
43,654
44,1853
45,550
46,746
47,1118
48,245
49,1802
50,701
51,1151
52,3117
53,570
54,2224
55,2526
56,351
57,2019
58,3050
59,2007
60,1127
61,585
62,1154
63,1796
64,1221
65,1440
66,338
67,2931
68,1148
69,3835
70,1994
71,669
72,2395
73,1142
74,2567
75,195
76,382
77,732
78,686
79,1899
80,159
81,538
82,452
83,2322
84,2460
85,1587
86,720
87,1669
88,777
89,553
90,957
91,2146
92,246
93,877
94,1355
95,567
96,1891
97,766
98,2264
99,2556
100,1041
101,2926
102,4001
103,1289
104,2384
105,1370
106,870
107,6309
108,596
109,593
110,766
111,874
112,2776
113,590
114,584
115,715
116,380
117,3427
118,1034
119,1587
120,682
121,7018
122,1795
123,775
124,646
125,610
126,2505
127,792
128,226
129,693
130,2815
131,1118
132,492
133,2654
134,1085
135,608
136,763
137,1289
138,5858
139,774
140,2626
141,439
142,216
143,1104
144,831
145,2776
146,559
147,950
148,1559
149,1895
150,172
151,1339
152,1964
153,567
154,364
155,537
156,1862
157,108
158,4612
159,857
160,38
161,546
162,396
163,727
164,1970
165,1317
166,2700
167,2336
168,1126
169,458
170,56
171,1883
172,199
173,355
174,2374
175,707
176,1488
177,1632
178,3020
179,2377
180,666
