ID,Count
19,51
20,42
21,31
22,30
23,34
24,33
25,38
26,42
27,42
28,37
29,43
30,17
31,27
32,29
33,55
34,45
35,61
36,15
37,36
38,17
39,46
40,46
41,27
42,32
43,31
44,34
45,26
46,34
47,20
48,26
49,47
50,41
51,45
52,53
53,40
54,46
55,48
56,24
57,50
58,44
59,41
60,37
61,22
62,27
63,41
64,38
65,44
66,40
67,40
68,29
69,64
70,45
71,26
72,36
73,47
74,56
75,21
76,27
77,49
78,25
79,56
80,29
81,28
82,36
83,50
84,45
85,35
86,32
87,34
88,33
89,36
90,26
91,41
92,32
93,27
94,36
95,31
96,40
97,25
98,38
99,60
100,40
101,68
102,69
103,31
104,43
105,41
106,26
107,87
108,35
109,27
110,32
111,38
112,58
113,31
114,26
115,31
116,24
117,68
118,42
119,30
120,33
121,105
122,48
123,28
124,19
125,40
126,46
127,34
128,30
129,31
130,54
131,28
132,28
133,55
134,35
135,26
136,28
137,44
138,87
139,32
140,41
141,38
142,28
143,38
144,31
145,48
146,33
147,29
148,31
149,48
150,20
151,32
152,49
153,23
154,32
155,37
156,48
157,33
158,85
159,32
160,25
161,25
162,24
163,38
164,55
165,42
166,55
167,53
168,42
169,25
170,24
171,40
172,32
173,28
174,47
175,28
176,58
177,44
178,54
179,63
180,39
