ID,Count,Frequency
181,4,0.006734006734006734
182,58,0.09764309764309764
183,20,0.03367003367003367
184,21,0.03535353535353535
185,16,0.026936026936026935
186,82,0.13804713804713806
187,6,0.010101010101010102
188,39,0.06565656565656566
189,43,0.0723905723905724
190,71,0.11952861952861953
191,38,0.06397306397306397
192,90,0.15151515151515152
193,64,0.10774410774410774
194,42,0.0707070707070707
195,35,0.058922558922558925
196,21,0.03535353535353535
197,135,0.22727272727272727
198,24,0.04040404040404041
