ID,Count
19,61848
20,12012
21,1
22,8
23,44205
24,10158
25,5
26,108676
27,61710
28,33649
29,2171
30,29
31,27
32,15
33,223070
34,26033
35,69750
37,8333
38,18
39,72006
40,132418
41,3
42,28486
43,15096
44,46480
45,1
46,43897
48,11246
49,16832
50,17464
51,2905
52,43932
53,8741
54,57143
55,107256
56,5
57,102048
58,157747
59,27430
60,9
61,251
62,28962
63,17901
64,24405
65,37739
66,19
67,24213
68,98415
69,87
70,14646
71,14
72,109723
73,8
74,5342
75,3
76,9
77,29406
78,34228
79,110515
80,4
81,32074
82,23
83,25856
84,46056
85,34780
86,13
87,1
88,7673
89,2
90,9396
91,1
93,29603
94,12732
95,5
96,24397
97,20548
98,19
99,38933
100,114
101,34
102,116629
104,67855
105,46
106,6
107,78540
108,10099
109,18
110,24
111,12316
112,64928
113,42
114,10532
116,28422
117,86387
118,94712
119,45357
120,16259
121,28769
122,6808
123,35
124,11183
125,20551
126,173404
127,12097
128,13
129,14431
130,36359
131,34677
132,3
133,25635
134,13320
135,1
136,3
137,25225
138,36285
139,8214
140,82574
141,5
142,22
143,103201
144,17
145,35964
146,17861
147,14318
148,58046
149,24611
150,4
151,13148
152,118693
153,33597
154,1
155,2096
158,86884
159,3606
160,3
161,12507
162,20686
163,4
164,262143
166,72255
167,11621
168,7
169,11
170,1
171,49622
172,3
173,15981
174,51426
175,27528
176,97152
177,94598
178,35440
179,68533
180,13
