ID,Count,Frequency
181,8344,0.02805582921720067
182,15469,0.05201289814967368
183,10135,0.03407787980780547
184,14399,0.04841513481525317
185,16482,0.0554190049326344
186,34508,0.1160295487328812
187,9832,0.033059073928992926
188,9365,0.031488835165278554
189,14119,0.047473664036152476
190,11244,0.03780677657217214
191,18082,0.060798837956066935
192,39848,0.1339847414485873
193,21916,0.07369026283846715
194,6799,0.022860927953948628
195,15215,0.05115884965720376
196,3453,0.01161035214369534
197,27864,0.0936897921030776
198,20333,0.06836759054090859
