ID,Count
19,1104
20,837
21,1073
22,694
23,671
24,1070
25,888
26,974
27,1031
28,939
29,899
30,635
31,1165
32,868
33,1199
34,1167
35,1510
36,754
37,918
38,782
39,1354
40,1233
41,1172
42,1217
43,1056
44,957
45,802
46,1203
47,829
48,954
49,785
50,1149
51,1229
52,972
53,1044
54,1061
55,1050
56,860
57,986
58,1176
59,1088
60,1187
61,781
62,800
63,1117
64,1152
65,1052
66,1254
67,1127
68,932
69,1088
70,1056
71,882
72,701
73,1301
74,1263
75,708
76,823
77,908
78,711
79,1541
80,931
81,786
82,1022
83,1231
84,975
85,891
86,1128
87,817
88,1052
89,947
90,1042
91,1177
92,908
93,1135
94,931
95,801
96,999
97,963
98,942
99,1262
100,1004
101,1039
102,1006
103,886
104,958
105,968
106,977
107,893
108,1184
109,775
110,983
111,1175
112,1061
113,1097
114,971
115,890
116,838
117,1102
118,1153
119,1172
120,1131
121,1364
122,1080
123,1146
124,807
125,871
126,1026
127,835
128,990
129,1094
130,934
131,927
132,881
133,1047
134,1254
135,838
136,1030
137,1141
138,1240
139,1006
140,1072
141,1083
142,914
143,1018
144,856
145,1339
146,1009
147,959
148,810
149,1069
150,915
151,1078
152,1189
153,1107
154,807
155,818
156,1022
157,865
158,839
159,777
160,678
161,878
162,1138
163,1077
164,1061
165,1234
166,977
167,967
168,1026
169,955
170,736
171,868
172,791
173,901
174,893
175,1029
176,1363
177,1069
178,955
179,1333
180,1046
