ID,Count,Frequency
19,6134,0.01552526208687465
20,2699,0.006831216558929683
22,123,0.00031131516737619526
23,602,0.0015236726078086955
24,553,0.0013996527443824063
26,3952,0.010002581637973363
27,7712,0.01951920789272535
28,1468,0.0037155338675467857
29,886,0.0022424816121569837
30,826,0.0020906205549003033
31,649,0.0016426304359930953
32,1028,0.0026018861143311278
33,29707,0.07518894046540352
34,1006,0.002546203726670345
35,3367,0.008521936329720727
36,5,1.2655088104723385e-05
37,2619,0.006628735149254109
38,390,0.000987096872168424
39,4435,0.011225063148889642
40,6010,0.01521141590187751
42,3009,0.007615832021422533
43,2360,0.005973201585429438
44,6036,0.015277222360022071
46,2145,0.0054290327969263325
47,9,2.2779158588502092e-05
48,164,0.00041508688983492705
49,646,0.0016350373831302614
50,2786,0.00705141509195187
51,1143,0.002892953140739766
52,3574,0.009045856977256276
53,296,0.0007491812157996244
54,5138,0.01300436853641375
55,4744,0.012007147593761548
56,158,0.000399900784109259
57,6944,0.017575386359839837
58,9294,0.02352327776905983
59,4046,0.010240497294342163
60,275,0.0006960298457597861
61,231,0.0005846650704382204
62,2998,0.007587990827592142
63,4247,0.010749231836152043
64,4228,0.010701142501354094
65,1465,0.0037079408146839517
66,611,0.0015464517663971976
67,1227,0.0031055586208991186
68,4038,0.010220249153374605
69,2542,0.006433846792441369
70,426,0.0010782135065224325
71,315,0.0007972705505975733
72,4876,0.012341241919726246
73,4,1.0124070483778709e-05
74,1574,0.003983821735366921
75,125,0.00031637720261808465
76,255,0.0006454094933408927
77,3234,0.008185310986135086
78,4526,0.011455385752395608
79,10159,0.025712608011176974
80,130,0.000329032290722808
81,2042,0.005168337981969031
82,195,0.000493548436084212
83,2331,0.005899802074422042
84,2228,0.0056391072594647405
85,6668,0.016876825496459108
86,468,0.0011845162466021088
87,16,4.0496281935114835e-05
88,1783,0.004512804418144359
89,168,0.0004252109603187057
90,764,0.0019336974624017333
93,847,0.0021437719249401414
94,2491,0.00630476489377319
95,91,0.00023032260350596561
96,5151,0.013037271765486032
97,2506,0.0063427301580873605
98,649,0.0016426304359930953
99,2576,0.006519901391553488
100,1073,0.0027157819072736386
101,1044,0.002642382396266243
102,8505,0.02152630486613448
104,4944,0.012513351117950483
105,693,0.0017539952113146612
106,35,8.85856167330637e-05
107,6554,0.016588289487671413
108,1517,0.003839553730973075
109,633,0.0016021341540579806
110,464,0.0011743921761183302
111,1761,0.004457122030483577
112,3887,0.00983806549261196
113,1175,0.0029739457046099953
114,1526,0.003862332889561577
115,9,2.2779158588502092e-05
116,1899,0.004806402462173942
117,5065,0.01281960425008479
118,4113,0.010410075474945456
119,1547,0.003915484259601415
120,1593,0.0040319110701648704
121,3166,0.008013201787910847
122,408,0.0010326551893454282
123,1692,0.0042824818146383935
124,1060,0.0026828786782013576
125,221,0.0005593548942287736
126,12054,0.030508886402867138
127,1369,0.0034649631230732627
129,917,0.002320943158406269
130,2403,0.006082035343130059
131,2605,0.0065933009025608835
132,153,0.00038724569600453556
133,2129,0.005388536514991217
134,830,0.002100744625384082
136,92,0.00023285362112691028
137,1944,0.004920298255116452
138,2560,0.006479405109618373
139,1997,0.00505444218902652
140,4600,0.011642681056345514
141,173,0.00043786604842342914
142,5,1.2655088104723385e-05
143,5991,0.01516332656707956
144,619,0.0015666999073647551
145,1828,0.004626700211086869
146,373,0.0009440695726123645
147,1542,0.003902829171496692
148,5750,0.014553351320431894
149,2981,0.007544963528036082
150,103,0.00026069481495730174
151,597,0.0015110175197039723
152,5344,0.013525758166328354
153,3797,0.009610273906726939
155,1033,0.0026145412024358512
158,11253,0.02848154128849045
159,1041,0.002634789343403409
161,705,0.0017843674227659974
162,560,0.0014173698677290192
163,173,0.00043786604842342914
164,14707,0.03722367615123336
165,17,4.302729955605951e-05
166,4280,0.010832755417643218
167,1023,0.0025892310262264047
168,23,5.821340528172757e-05
169,203,0.0005137965770517694
171,5369,0.01358903360685197
172,151,0.00038218366076264623
173,698,0.0017666502994193845
174,3016,0.007633549144769146
175,596,0.0015084865020830276
176,9906,0.02507226055307797
177,9300,0.023538463874785497
178,4233,0.010713797589458817
179,3949,0.00999498858511053
180,399,0.0010098760307569261
